trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,progress.started,progress.stopped,target.started,target.stopped,gazeCursor.started,gazeCursor.stopped,participant,movie,date,expName,psychopyVersion,frameRate,
,,,,176.9714330203642,None,space,1.5599699540107395,176.9714330203642,None,,,,,,,,,,,,Damy001,Gump0.mp4,2022_Mar_08_1315,MovieWithEyetracking,2021.2.3,59.827086808811664,
0,0,0,0,,,,,,,179.10166867734733,None,1,[117.99474154327254],[123.01096381776006],179.10166867734733,None,179.10166867734733,None,179.10166867734733,None,Damy001,Gump0.mp4,2022_Mar_08_1315,MovieWithEyetracking,2021.2.3,59.827086808811664,
1,0,1,0,,,,,,,186.0130109561942,None,1,[124.64423250049731],[129.66062544316446],186.0130109561942,None,186.0130109561942,None,186.0130109561942,None,Damy001,Gump0.mp4,2022_Mar_08_1315,MovieWithEyetracking,2021.2.3,59.827086808811664,
2,0,2,0,,,,,,,192.66808117940673,None,4,"[131.02736350504347, 131.5940557621616, 131.84407291695243, 131.89395934343702]","[131.57743731463052, 131.61090440646512, 131.8774813599266, 136.9101478948287]",192.66808117940673,None,192.66808117940673,None,192.66808117940673,None,Damy001,Gump0.mp4,2022_Mar_08_1315,MovieWithEyetracking,2021.2.3,59.827086808811664,
