trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,roi.started,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,progress.started,progress.stopped,target.started,target.stopped,gazeCursor.started,gazeCursor.stopped,participant,movie,date,expName,psychopyVersion,frameRate,
,,,,74.49727203499788,None,space,1.209082037996268,74.49727203499788,None,,,,,,,,,,,,Damy001,Gump0.mp4,2022_Mar_08_1112,MovieWithEyetracking,2021.2.3,59.954833027236084,
0,0,0,0,,,,,,,75.73389512200083,None,1,[64.34649632000219],[69.34775239499868],75.73389512200083,None,75.73389512200083,None,75.73389512200083,None,Damy001,Gump0.mp4,2022_Mar_08_1112,MovieWithEyetracking,2021.2.3,59.954833027236084,
1,0,1,0,,,,,,,82.8388151820036,None,1,[70.33158652100246],[75.33286205700279],82.8388151820036,None,82.8388151820036,None,82.8388151820036,None,Damy001,Gump0.mp4,2022_Mar_08_1112,MovieWithEyetracking,2021.2.3,59.954833027236084,
2,0,2,0,,,,,,,88.81952442500187,None,1,[76.09977241600427],[81.10099591800099],88.81952442500187,None,88.81952442500187,None,88.81952442500187,None,Damy001,Gump0.mp4,2022_Mar_08_1112,MovieWithEyetracking,2021.2.3,59.954833027236084,
